USAF,STATION NAME,CTRY,STATE,LAT,LON
20240,STORA SJOFALLET,SW,,+67.500,+018.300
20260,ALUOKTA,SW,,+67.317,+018.883
20280,TARFALA - SOL,SW,,+67.917,+018.600
20290,TARFALA,SW,,+67.917,+018.600
20310,RENSJON,SW,,+68.067,+019.833
20320,TORNETRASK LAKE,SW,,+68.217,+019.717
20360,NIKKALUOKTA,SW,,+67.850,+019.033
20380,LATNIVAARA,SW,,+67.250,+020.267
20430,ESRANGE,SW,,+67.933,+021.067
20440,KIRUNA,SW,,+67.822,+020.337
20450,KIRUNA-SOL,SW,,+67.833,+020.417
20480,MALMBERGET,SW,,+67.167,+020.667
20490,GALLIVARE,SW,,+67.132,+020.815
20500,RIKSGRANSEN,SW,,+68.417,+018.117
20510,KARESUANDO,SZ,,+68.450,+022.500
20520,KVIKKJOKK         &,SW,,+66.950,+017.750
